iter	Passed	Remaining
0	6	3151
1	36	9188
2	43	7249
3	51	6408
4	58	5798
5	65	5356
6	72	5120
7	80	4960
8	87	4798
9	95	4681
10	103	4594
11	110	4506
12	117	4402
13	124	4334
14	132	4273
15	139	4213
16	146	4163
17	153	4115
18	162	4106
19	170	4080
20	178	4066
21	185	4036
22	193	4010
23	201	4003
24	209	3982
25	217	3970
26	226	3962
27	233	3938
28	239	3882
29	245	3851
30	254	3854
31	261	3830
32	269	3807
33	276	3794
34	285	3788
35	292	3765
36	298	3736
37	305	3712
38	312	3691
39	320	3681
40	327	3666
41	334	3647
42	342	3635
43	350	3634
44	357	3618
45	364	3601
46	372	3591
47	381	3589
48	387	3568
49	394	3549
50	400	3525
51	408	3515
52	415	3503
53	422	3491
54	429	3479
55	437	3467
56	445	3461
57	452	3452
58	460	3443
59	468	3437
60	476	3425
61	484	3422
62	499	3467
63	508	3462
64	517	3462
65	528	3476
66	538	3477
67	549	3492
68	563	3517
69	570	3501
70	577	3489
71	586	3489
72	596	3488
73	603	3475
74	611	3462
75	618	3448
76	626	3440
77	634	3433
78	641	3420
79	648	3405
80	655	3391
81	663	3379
82	670	3368
83	677	3355
84	685	3347
85	692	3334
86	701	3328
87	708	3319
88	715	3302
89	719	3278
90	726	3265
91	734	3256
92	742	3250
93	750	3242
94	758	3232
95	765	3220
96	772	3209
97	780	3199
98	787	3191
99	796	3186
100	804	3177
101	811	3167
102	819	3160
103	827	3150
104	834	3139
105	842	3130
106	850	3124
107	857	3114
108	865	3103
109	872	3094
110	880	3084
111	887	3073
112	895	3066
113	902	3057
114	911	3050
115	918	3041
116	925	3029
117	932	3018
118	939	3008
119	947	2999
120	954	2989
121	961	2977
122	968	2968
123	976	2962
124	984	2953
125	991	2944
126	999	2934
127	1007	2927
128	1015	2920
129	1022	2910
130	1029	2899
131	1036	2889
132	1043	2879
133	1049	2867
134	1056	2856
135	1064	2848
136	1070	2836
137	1081	2835
138	1088	2826
139	1095	2817
140	1103	2809
141	1111	2801
142	1118	2792
143	1126	2784
144	1132	2773
145	1140	2764
146	1147	2754
147	1154	2745
148	1162	2738
149	1170	2732
150	1178	2724
151	1187	2717
152	1195	2710
153	1202	2700
154	1209	2692
155	1216	2682
156	1224	2675
157	1231	2665
158	1238	2657
159	1247	2650
160	1256	2645
161	1263	2636
162	1271	2628
163	1278	2619
164	1287	2613
165	1294	2604
166	1301	2595
167	1310	2588
168	1319	2584
169	1327	2577
170	1336	2570
171	1343	2562
172	1350	2553
173	1359	2548
174	1367	2540
175	1375	2532
176	1385	2528
177	1392	2519
178	1400	2511
179	1407	2502
180	1414	2493
181	1422	2484
182	1429	2476
183	1437	2469
184	1446	2462
185	1454	2455
186	1483	2483
187	1492	2476
188	1500	2469
189	1508	2461
190	1516	2453
191	1523	2444
192	1531	2435
193	1539	2428
194	1548	2421
195	1557	2415
196	1565	2408
197	1574	2400
198	1581	2392
199	1590	2385
200	1598	2377
201	1605	2368
202	1614	2361
203	1621	2352
204	1628	2343
205	1635	2333
206	1643	2325
207	1650	2316
208	1657	2307
209	1664	2299
210	1672	2290
211	1679	2282
212	1687	2273
213	1694	2264
214	1702	2256
215	1710	2248
216	1716	2238
217	1725	2231
218	1733	2223
219	1742	2217
220	1750	2209
221	1757	2200
222	1765	2192
223	1772	2184
224	1780	2176
225	1788	2168
226	1795	2159
227	1804	2152
228	1811	2143
229	1818	2135
230	1827	2127
231	1836	2121
232	1843	2112
233	1851	2104
234	1860	2097
235	1867	2089
236	1874	2080
237	1882	2072
238	1890	2064
239	1898	2056
240	1907	2050
241	1915	2042
242	1923	2034
243	1931	2026
244	1939	2018
245	1948	2011
246	1956	2003
247	1964	1996
248	1986	2002
249	1994	1994
250	2001	1985
251	2009	1977
252	2017	1969
253	2024	1961
254	2032	1952
255	2040	1944
256	2048	1937
257	2056	1928
258	2063	1920
259	2071	1912
260	2080	1905
261	2087	1896
262	2094	1887
263	2101	1878
264	2110	1871
265	2118	1864
266	2125	1855
267	2133	1847
268	2142	1839
269	2149	1831
270	2156	1822
271	2163	1813
272	2171	1805
273	2185	1802
274	2194	1795
275	2203	1788
276	2214	1782
277	2223	1775
278	2232	1768
279	2240	1760
280	2249	1753
281	2256	1744
282	2264	1736
283	2273	1729
284	2281	1720
285	2289	1713
286	2296	1704
287	2302	1695
288	2310	1686
289	2317	1678
290	2325	1670
291	2333	1662
292	2340	1653
293	2347	1645
294	2355	1636
295	2362	1628
296	2370	1620
297	2377	1611
298	2384	1603
299	2392	1595
300	2400	1586
301	2406	1578
302	2414	1569
303	2422	1561
304	2429	1553
305	2456	1557
306	2463	1548
307	2471	1540
308	2478	1531
309	2485	1523
310	2493	1515
311	2499	1506
312	2506	1497
313	2513	1488
314	2520	1480
315	2528	1472
316	2535	1463
317	2542	1455
318	2569	1457
319	2576	1449
320	2583	1440
321	2590	1432
322	2597	1423
323	2604	1414
324	2610	1405
325	2617	1397
326	2624	1388
327	2631	1380
328	2638	1371
329	2646	1363
330	2653	1354
331	2660	1346
332	2667	1337
333	2675	1329
334	2683	1321
335	2690	1312
336	2697	1304
337	2704	1296
338	2713	1288
339	2720	1280
340	2726	1271
341	2733	1263
342	2741	1255
343	2750	1247
344	2757	1238
345	2764	1230
346	2771	1222
347	2779	1214
348	2786	1205
349	2794	1197
350	2802	1189
351	2809	1181
352	2817	1173
353	2824	1164
354	2831	1156
355	2840	1148
356	2847	1140
357	2853	1132
358	2861	1123
359	2868	1115
360	2898	1116
361	2906	1107
362	2913	1099
363	2919	1090
364	2926	1082
365	2933	1074
366	2941	1065
367	2985	1070
368	2991	1062
369	2997	1053
370	3005	1045
371	3011	1036
372	3019	1028
373	3026	1019
374	3032	1010
375	3039	1002
376	3045	993
377	3052	985
378	3059	976
379	3067	968
380	3075	960
381	3083	952
382	3090	944
383	3096	935
384	3104	927
385	3112	919
386	3119	910
387	3127	902
388	3135	894
389	3142	886
390	3150	878
391	3158	870
392	3165	861
393	3172	853
394	3179	845
395	3187	837
396	3194	828
397	3201	820
398	3209	812
399	3216	804
400	3223	795
401	3230	787
402	3238	779
403	3266	776
404	3272	767
405	3281	759
406	3287	751
407	3294	742
408	3301	734
409	3309	726
410	3317	718
411	3325	710
412	3332	701
413	3339	693
414	3347	685
415	3355	677
416	3361	669
417	3369	660
418	3375	652
419	3382	644
420	3389	636
421	3396	627
422	3405	619
423	3412	611
424	3420	603
425	3427	595
426	3435	587
427	3443	579
428	3450	570
429	3457	562
430	3465	554
431	3474	546
432	3481	538
433	3488	530
434	3495	522
435	3502	514
436	3511	506
437	3518	498
438	3525	489
439	3532	481
440	3539	473
441	3548	465
442	3555	457
443	3562	449
444	3570	441
445	3578	433
446	3585	425
447	3593	417
448	3601	409
449	3609	401
450	3618	393
451	3625	385
452	3632	376
453	3639	368
454	3647	360
455	3655	352
456	3662	344
457	3669	336
458	3676	328
459	3683	320
460	3692	312
461	3699	304
462	3707	296
463	3715	288
464	3722	280
465	3729	272
466	3738	264
467	3747	256
468	3754	248
469	3762	240
470	3769	232
471	3776	224
472	3783	215
473	3790	207
474	3798	199
475	3805	191
476	3813	183
477	3820	175
478	3827	167
479	3835	159
480	3843	151
481	3851	143
482	3858	135
483	3866	127
484	3874	119
485	3886	111
486	3894	103
487	3902	95
488	3909	87
489	3916	79
490	3924	71
491	3932	63
492	3942	55
493	3949	47
494	3956	39
495	3963	31
496	3971	23
497	3978	15
498	3986	7
499	3994	0
